,eta,epsilon,sigma_init,mu,K,MSE,MAE,MASE,MAPE,CB
177,0.05,1.0,0.4,0.05,4,0.6385435727625991,0.465911131346693,18.814183752848706,45964.93567866365,20
178,0.05,1.0,0.4,0.05,6,0.7055015186153096,0.49381535111898933,19.652151643349892,46526.27361942943,20
179,0.05,1.0,0.4,0.05,8,0.7210628497653254,0.5028725231413822,19.906204320747754,46615.00999909996,20
180,0.05,1.0,0.4,0.1,1,0.36468734603375697,0.37071527219103295,14.55650946801747,55021.82485581375,20
181,0.05,1.0,0.4,0.1,2,0.3756023507884537,0.3762052095182801,14.74760844710328,55040.21013069442,20
182,0.05,1.0,0.4,0.1,4,0.47054391992938327,0.41369225261559206,16.589932221352143,55970.122857253555,20
183,0.05,1.0,0.4,0.1,6,0.5387121058617919,0.4479222179037815,17.48693036256977,55729.12996279403,20
184,0.05,1.0,0.4,0.1,8,0.5527188581749807,0.4572937695320228,17.76719634391576,55846.07171134686,20
185,0.05,1.0,0.4,0.2,1,0.2450884884002038,0.3185002410096977,12.229895822008713,64997.683194871825,20
186,0.05,1.0,0.4,0.2,2,0.2551533858215124,0.3253344887202021,12.474567607386534,65215.63408956676,20
187,0.05,1.0,0.4,0.2,4,0.33500328711211386,0.3674843234405165,14.427293918501006,66359.92298199722,20
188,0.05,1.0,0.4,0.2,6,0.38595877026305664,0.3974693979932204,15.140913497092253,63860.512197968004,20
189,0.05,1.0,0.4,0.2,8,0.39603310103551603,0.40473781141613596,15.403122914639592,64153.780714472516,20
190,0.05,1.0,0.4,0.3,1,0.1955736525505774,0.29247387738457975,11.124881306647607,70007.42319853262,20
191,0.05,1.0,0.4,0.3,2,0.20772331110297806,0.3015807244383072,11.411642949478376,70531.08608152367,20
192,0.05,1.0,0.4,0.3,4,0.2908178629837595,0.3520990222219851,13.630540114493492,71757.02253365936,20
193,0.05,1.0,0.4,0.3,6,0.34628753773941845,0.3841455184370536,14.364878782956863,70547.12595613672,20
194,0.05,1.0,0.4,0.3,8,0.35400360773578377,0.38958757580531994,14.587566966440015,70786.04877266825,20
195,0.05,1.0,0.4,0.4,1,0.1701557984684082,0.2781793851670023,10.577409428046572,73125.45528121822,20
196,0.05,1.0,0.4,0.4,2,0.18336047027412536,0.28906241618755746,10.881483653486296,73918.87607069344,20
