,eta,epsilon,mu,K,MSE,MAE,MASE,MAPE,CB
152,0.9,0.35,0.05,4,77.71670252257601,7.211714045638071,360.120771693944,3717543.1739393077,36
153,0.9,0.35,0.05,6,49.85508550426827,5.5364303855428885,271.69355898928484,2687531.1815117183,48
154,0.9,0.35,0.05,8,33.64884440164881,4.494469105841372,219.63105720543984,2379802.8473169385,53
155,0.9,0.35,0.1,1,73.27218432503648,7.1953098451182,355.3637921694025,3390194.8285170216,17
156,0.9,0.35,0.1,2,88.54615890980934,8.0346265447396,401.4793870090982,4256800.191871192,19
157,0.9,0.35,0.1,4,73.49835062293745,7.36157121557529,363.10609374856796,3738008.6403641086,24
158,0.9,0.35,0.1,6,66.65433326385819,6.663566864726936,325.9495873332204,3470300.2350472817,30
159,0.9,0.35,0.1,8,61.00160001150948,6.170184131514273,304.56062915281626,2603411.3125213915,32
160,0.9,0.35,0.2,1,44.673233815040454,5.567822499113462,275.0374140318301,2981265.4361459743,18
161,0.9,0.35,0.2,2,35.16358797689068,4.914762829039527,240.05218660480622,2505721.590953254,17
162,0.9,0.35,0.2,4,49.41794270238341,5.94564338237483,289.23525462619097,3060714.239439612,26
163,0.9,0.35,0.2,6,39.01040365720155,5.0778728130756745,240.6700503661787,1972269.0790356866,23
164,0.9,0.35,0.2,8,56.85487993160044,6.318536537612942,307.5237618969905,2801391.2370642,25
165,0.9,0.35,0.3,1,41.27727892492524,4.635058591737847,227.2001430331357,2499929.9424794,22
166,0.9,0.35,0.3,2,32.08861735587438,4.650487516710103,225.78338726257834,2000617.5560987159,24
167,0.9,0.35,0.3,4,35.21828051227923,5.092078828279972,244.88440457332254,2479460.8464428866,65
168,0.9,0.35,0.3,6,34.615688969543186,4.78019390998262,223.94046325800574,1918662.448810756,33
169,0.9,0.35,0.3,8,23.66457123018735,3.700632909994534,174.9544540509269,1656165.8015263393,35
170,0.9,0.35,0.4,1,47.481282811621895,4.934145008486387,241.65595887112616,2449207.9804940363,20
171,0.9,0.35,0.4,2,56.94230490352683,5.568507883520413,269.66129320297506,2686468.784302572,20
172,0.9,0.35,0.4,4,51.48420248927731,5.0402377111208345,247.07411612941132,3082677.5362737807,28
173,0.9,0.35,0.4,6,31.66204096202641,4.4473280994238795,214.0556360622735,2398362.4322748464,36
174,0.9,0.35,0.4,8,82.47185494844433,6.957324919987597,344.2234839945177,3560712.8080570255,27
175,0.9,0.5,0.05,1,65.60117809927864,6.732549445052576,339.68325665265223,2946598.956658321,20
176,0.9,0.5,0.05,2,46.37081295229597,5.617469185165287,280.0359583953186,2688092.825298524,23
177,0.9,0.5,0.05,4,36.7976222095231,4.636713561684726,225.97987353117648,2027072.903358533,29
178,0.9,0.5,0.05,6,32.86397177594777,4.615721248350651,224.44045645696087,1875903.4483198184,33
179,0.9,0.5,0.05,8,44.848410296345804,5.274658287657178,254.5367475870896,3045740.8894461337,36
180,0.9,0.5,0.1,1,74.94301885169007,7.3840224702176736,366.8664457567573,4074176.8830549153,14
181,0.9,0.5,0.1,2,94.41256856815855,8.488077610534198,429.5516192471956,4270843.331743855,15
182,0.9,0.5,0.1,4,64.28842506203044,6.759151889459825,337.1063965563591,3321677.114404111,18
183,0.9,0.5,0.1,6,50.931913744332725,5.8175006626488655,288.043274506187,2619859.407024609,23
184,0.9,0.5,0.1,8,80.13216902926577,7.271090457183439,365.16356294505294,4042587.172250366,23
185,0.9,0.5,0.2,1,36.10372222298258,4.91778586128258,240.86534587778547,2325880.0211893045,12
186,0.9,0.5,0.2,2,38.24899776384947,5.2310645676385175,256.53216617187326,2445500.022456717,13
187,0.9,0.5,0.2,4,39.90087625782681,4.832051197174425,241.66587699390942,2335449.8759975317,15
188,0.9,0.5,0.2,6,33.62108175791963,4.764267917077942,234.45638419617424,2594242.481476887,18
189,0.9,0.5,0.2,8,54.2174116536309,5.997263854284255,299.91441865133385,2556047.6118934005,19
190,0.9,0.5,0.3,1,42.28922482050265,5.061374982263333,242.4647920783723,2011906.7506323503,14
191,0.9,0.5,0.3,2,31.80720779017034,4.57734645935463,220.81325125199405,1894063.8776416446,17
192,0.9,0.5,0.3,4,28.714073300412977,4.568658924069537,216.89341192283302,2029562.1380336818,19
193,0.9,0.5,0.3,6,34.65081137401143,4.371466514485755,210.68993645613716,2035111.0870991615,25
194,0.9,0.5,0.3,8,40.276880354019525,4.519709022934115,219.34992526973446,1754949.352091221,23
195,0.9,0.5,0.4,1,45.49990149805031,5.341128549414311,259.4192531093196,2838662.8082850087,14
196,0.9,0.5,0.4,2,23.64409092705015,3.611328221107913,176.09837852638282,1514084.787814929,11
197,0.9,0.5,0.4,4,39.57504589761688,4.722834661382937,223.62393350455827,1959067.2272106006,17
198,0.9,0.5,0.4,6,35.997152649392625,4.490056313131908,227.06901147792135,2169657.5634575677,83
199,0.9,0.5,0.4,8,47.36968625066045,5.4168344541669855,263.07131443755185,3014890.4638440814,24
200,0.9,1.0,0.05,1,42.04239854511776,5.872409502118888,287.548967183653,2939543.49490636,12
201,0.9,1.0,0.05,2,41.25342715295555,5.6971697886281865,283.5363984253375,2971702.719937011,13
202,0.9,1.0,0.05,4,28.158592682413726,4.825243260515691,237.6075841909372,2346857.533115786,14
203,0.9,1.0,0.05,6,23.437103908502046,4.413874976082648,216.45506022520107,2120814.177920747,16
204,0.9,1.0,0.05,8,20.379537948261365,4.129556751368531,202.76356929857346,1963504.5748361861,17
205,0.9,1.0,0.1,1,77.59343703086242,7.7059892948255655,383.1351056997499,4016584.737153781,8
206,0.9,1.0,0.1,2,85.9091745628313,8.118781392423823,406.6408627811077,4302416.454451046,8
207,0.9,1.0,0.1,4,73.28929143510726,7.460600090566545,372.4256587533526,3982956.4703919995,11
208,0.9,1.0,0.1,6,67.79386565060666,7.121145916021154,354.3122544088256,3748154.4094386706,12
209,0.9,1.0,0.1,8,86.19470840956537,8.065468225068576,404.06630420754294,4169203.0093748844,14
210,0.9,1.0,0.2,1,33.241779380212634,5.003259416590797,245.2732059664286,2557977.0980029674,5
211,0.9,1.0,0.2,2,23.549328602870233,4.197261975517475,205.42528332903433,2142414.6514651426,6
212,0.9,1.0,0.2,4,39.27983950034114,5.224679341941842,263.1176420492469,2528285.7638356066,8
213,0.9,1.0,0.2,6,28.401702407772454,4.568200537881769,226.86268031127284,2383382.3117892137,9
214,0.9,1.0,0.2,8,46.81212348695035,5.767795894533426,288.2970584688421,2971303.89154502,11
215,0.9,1.0,0.3,1,84.42718145793108,7.723570678826393,384.317215499319,4381762.497940105,5
216,0.9,1.0,0.3,2,50.637625535969036,6.0606599300755954,300.1644021598114,3281808.096555176,5
217,0.9,1.0,0.3,4,44.740949918268214,5.31343576980905,261.5341971650925,2919447.5832216446,7
218,0.9,1.0,0.3,6,51.52141350609345,5.977083116754797,301.1749780735626,3227197.7467626366,8
219,0.9,1.0,0.3,8,34.62609112587154,4.890465912506887,240.18063355348687,2695110.401308442,11
220,0.9,1.0,0.4,1,24.667436526299642,4.344929031457657,207.72278196978988,2063672.3135049595,3
221,0.9,1.0,0.4,2,24.126085244787426,4.284023306972822,209.51965580438346,2144394.6610665717,4
222,0.9,1.0,0.4,4,22.34759205797878,4.14993689925494,205.44413956257557,2028259.7596612275,6
223,0.9,1.0,0.4,6,25.77439323188798,4.279091024209031,210.79203200998865,2193954.036583799,8
224,0.9,1.0,0.4,8,22.776832985105855,4.108579048920327,202.75239036934028,1899091.8526151471,10
