,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
138,0.5,1.0,0.2,6,1.7464712237352629,0.45592196103905513,6,6,6,0.5
139,0.5,1.0,0.2,8,1.611138073878811,0.5912551108955068,7,7,6,1.0
140,0.5,1.0,0.3,1,2.3303336531605376,1.314648643778512,3,3,3,0.5
141,0.5,1.0,0.3,2,2.112704778938569,0.46599064648170196,4,4,4,0.5
142,0.5,1.0,0.3,4,2.2534110428733114,0.9698852259500536,6,6,6,0.5
143,0.5,1.0,0.3,6,1.6891947082684022,0.5131984765059158,6,6,6,0.5
144,0.5,1.0,0.3,8,1.611138073878811,0.5912551108955068,7,7,6,1.0
145,0.5,1.0,0.4,1,1.7351427055822428,0.7356173128474965,3,3,3,0.5
146,0.5,1.0,0.4,2,1.6143112377104802,0.6180988018943652,4,4,4,0.5
147,0.5,1.0,0.4,4,1.9632095520833182,0.6285924294509045,6,6,6,0.5
148,0.5,1.0,0.4,6,1.5995267792611785,0.6028664055131394,6,6,6,0.5
149,0.5,1.0,0.4,8,1.611138073878811,0.5912551108955068,7,7,6,1.0
150,0.9,0.35,0.05,1,2.0406138961869775,0.33762337767891115,19,19,18,1.0
151,0.9,0.35,0.05,2,1.601818629586226,0.5413418472782014,21,21,19,2.5
152,0.9,0.35,0.05,4,1.627679982307107,0.6799891012786723,24,24,18,6.5
153,0.9,0.35,0.05,6,1.5351281059384,0.6151224110160589,24,24,19,5.5
154,0.9,0.35,0.05,8,1.542981439912589,0.5651956556312008,22,22,20,2.0
155,0.9,0.35,0.1,1,2.410793387739702,0.8228312991633223,16,16,14,2.5
156,0.9,0.35,0.1,2,1.8654712332105787,0.7538241743542058,19,19,18,1.0
157,0.9,0.35,0.1,4,1.7476927793333132,0.6167530487610539,21,21,16,5.0
158,0.9,0.35,0.1,6,1.3731407457934999,0.41205250267262206,21,21,16,5.5
159,0.9,0.35,0.1,8,1.1430361949186691,0.25160786025354087,20,20,19,1.5
160,0.9,0.35,0.2,1,2.9543072679714966,0.729896043967379,14,14,12,2.0
161,0.9,0.35,0.2,2,1.266275549581579,0.5732695999402527,12,12,12,0.0
162,0.9,0.35,0.2,4,1.3905644559398875,0.5263660044848567,17,17,13,4.5
163,0.9,0.35,0.2,6,2.3409324557688063,0.880628309939493,18,18,14,4.5
164,0.9,0.35,0.2,8,1.1883895096010273,0.28569627230024053,17,17,16,1.5
165,0.9,0.35,0.3,1,2.560298707504698,0.07474173251111638,10,10,9,1.0
166,0.9,0.35,0.3,2,1.5621540527307387,0.957274279809097,11,11,10,1.0
167,0.9,0.35,0.3,4,1.5008441925455114,0.783162122594547,18,18,13,5.0
