,eta,epsilon,mu,K,TMSE,TMSE_std,CB_mean,CB_median,CB_mode,CB_std
113,0.5,0.5,0.2,6,0.226358556016327,0.04405050182596927,6,6,6,5.87755051020406
114,0.5,0.5,0.2,8,0.22511759023035294,0.048479021678859105,6,6,6,3.7793650260328158
115,0.5,0.5,0.3,1,0.07677127030694417,0.19268690107726938,7,7,7,1.3328165665236928
116,0.5,0.5,0.3,2,0.0348669048571202,0.04887924302660274,7,7,7,1.9899748742132382
117,0.5,0.5,0.3,4,0.07039746941367668,0.0884351705466446,8,7,7,10.525701876834608
118,0.5,0.5,0.3,6,0.29955598388889265,0.3903140818834279,35,6,6,207.61437811481133
119,0.5,0.5,0.3,8,0.22514047691115877,0.048440786601721235,6,6,6,2.940816213230602
120,0.5,0.5,0.4,1,0.09455006627031162,0.18786271471650218,7,7,7,1.9999999999999982
121,0.5,0.5,0.4,2,0.1430546515093348,0.23721750652692006,47,7,7,287.43732603821655
122,0.5,0.5,0.4,4,0.15951400539540736,0.24688850273585797,16,7,7,66.25271617073524
123,0.5,0.5,0.4,6,0.23866733642451354,0.05239254440840481,6,6,6,2.8011426240018555
124,0.5,0.5,0.4,8,0.22236656961120546,0.05629897439500512,8,6,6,17.215400082484287
125,0.5,1.0,0.05,1,0.7067965970903206,0.20820018717905597,5,5,5,0.4176122603564218
126,0.5,1.0,0.05,2,0.6542067083967987,0.24786988138543237,5,5,5,0.48207883172775806
127,0.5,1.0,0.05,4,0.5331669791807427,0.279446505554227,5,5,5,0.5381449618829487
128,0.5,1.0,0.05,6,0.6054821797993258,0.27654851841035333,5,5,5,0.5199999999999998
129,0.5,1.0,0.05,8,0.6055461626984705,0.2764354003137516,5,5,5,0.5199999999999998
130,0.5,1.0,0.1,1,0.704161532100631,0.19845610680417117,5,5,5,0.4331281565541543
131,0.5,1.0,0.1,2,0.6678273512734368,0.24024665373020004,5,5,5,0.47159304490206394
132,0.5,1.0,0.1,4,0.5408023033730636,0.27412198595519044,5,5,5,0.5370288632839023
133,0.5,1.0,0.1,6,0.6091200187849597,0.27121878001514227,5,5,5,0.5199999999999998
134,0.5,1.0,0.1,8,0.6055461626984705,0.2764354003137516,5,5,5,0.5199999999999998
135,0.5,1.0,0.2,1,0.6595417586196247,0.2268792547350769,5,5,5,0.5589275444992854
136,0.5,1.0,0.2,2,0.6204908537330893,0.27537066417461287,5,5,5,0.6858571279792899
