,eta,epsilon,mu,K,TMSE,CB,tradeOff
165,0.2,0.35,0.3,1,0.3508144751535665,13,0.35082952908395887
166,0.2,0.35,0.3,2,0.4907164504739593,12,0.49072562065349895
167,0.2,0.35,0.3,4,0.00995794242024367,50,0.015981571175728886
168,0.2,0.35,0.3,6,0.017671277733735943,37,0.01994584058752179
169,0.2,0.35,0.3,8,0.6176974849058873,48,0.6178140358223166
170,0.2,0.35,0.4,1,0.11939081758509233,74,0.12081563360607266
171,0.2,0.35,0.4,2,0.6597352754592564,19,0.659752374899326
172,0.2,0.35,0.4,4,0.0416203076614691,13,0.04174700599845866
173,0.2,0.35,0.4,6,0.5101859497935279,27,0.5102306006765217
174,0.2,0.35,0.4,8,0.03309571707749069,24,0.03363519717309992
175,0.2,0.5,0.05,1,0.011131395820084116,20,0.012202785456746591
176,0.2,0.5,0.05,2,2.110716866204578,11,2.110718657656788
177,0.2,0.5,0.05,4,0.03561129734881662,12,0.035737438336649614
178,0.2,0.5,0.05,6,0.01784968305105417,13,0.018143144298138913
179,0.2,0.5,0.05,8,0.017623283794660546,14,0.017967474271781914
180,0.2,0.5,0.1,1,0.010211254503722372,23,0.011718882990276437
181,0.2,0.5,0.1,2,0.19008896732373734,10,0.19010540628347444
182,0.2,0.5,0.1,4,0.04021801165584537,12,0.04032974660904422
183,0.2,0.5,0.1,6,0.032116590011838246,12,0.03225640020195229
184,0.2,0.5,0.1,8,0.014664127231912176,18,0.015339055625223747
185,0.2,0.5,0.2,1,0.004002334435832136,54,0.014080791204198993
186,0.2,0.5,0.2,2,0.49848582634663896,10,0.49849209529188276
187,0.2,0.5,0.2,4,0.011735611835237102,18,0.012568794100762297
188,0.2,0.5,0.2,6,0.018000044209576398,18,0.01855401820487155
189,0.2,0.5,0.2,8,0.0055701613936159095,39,0.011228944649918315
190,0.2,0.5,0.3,1,0.15748808149739044,15,0.15753272140647062
191,0.2,0.5,0.3,2,0.7585515793740455,9,0.758554916318429
192,0.2,0.5,0.3,4,0.015366223556539252,16,0.01587831308387455
193,0.2,0.5,0.3,6,0.013403486384956384,17,0.014061150282665752
