,CB_0,CB_1,CB_2,CB_3,CB_4,CB_5,CB_6,CB_7,CB_8,CB_9,CB_10,CB_11,CB_12,CB_13,CB_14,CB_15,CB_16,CB_17,CB_18,CB_19,TMSE_0,TMSE_1,TMSE_2,TMSE_3,TMSE_4,TMSE_5,TMSE_6,TMSE_7,TMSE_8,TMSE_9,TMSE_10,TMSE_11,TMSE_12,TMSE_13,TMSE_14,TMSE_15,TMSE_16,TMSE_17,TMSE_18,TMSE_19,mean_CB,mean_TMSE
257,79,66,34,13,14,133,164,24,83,95,48,81,103,62,60,97,109,16,75,75,0.05224330950572149,0.06725300789377282,0.21485107191338434,0.6307064043382294,0.6679060048595435,0.023406063094256455,0.021408607057561178,0.7220626301874025,0.009187051664813374,0.015955076847127332,0.05275917438555576,0.0211150226186065,0.01671973813600547,0.06910786141589056,0.05443030947978513,0.01698594460508635,0.021974850732009832,0.4405383445511707,0.03617318048272982,0.01210727356907306,71.55,0.1583445463668863
258,79,66,34,13,14,133,164,24,83,95,48,81,103,62,60,97,109,16,75,75,0.052185917391630546,0.06806419938002582,0.19077083626569205,0.6348632386002986,0.6685706474393709,0.023249084499036097,0.02073048275999167,0.71853112396278,0.009384574734971675,0.015985677542254554,0.050219954940280864,0.021126489840567114,0.016180845990973726,0.06901108151243433,0.05501275392301123,0.016229567295130844,0.02148497081661194,0.4469087503431253,0.03618567550731697,0.012124572980480636,71.55,0.15734102228629923
259,79,67,34,13,14,133,164,24,83,95,49,81,103,62,60,97,109,16,75,75,0.052401726027908414,0.06731810643143993,0.19178378007245822,0.6365372076862382,0.6684556306859036,0.02336670407617409,0.020716630270265896,0.7092004261106541,0.009441200490965472,0.015783921930374152,0.04774022093397299,0.021208175407343977,0.015914692568310483,0.06908988009989545,0.054840403801434734,0.015960167700234364,0.022298397775495,0.4483987218088783,0.03625679295464216,0.011992033416965158,71.65,0.15693524101247774
260,79,68,35,13,14,133,164,25,83,95,50,81,103,62,60,97,109,16,75,75,0.052350949751605876,0.06681611369637987,0.18952556097368758,0.6369760946295452,0.6678247884272929,0.023390372669346553,0.02081439174588886,0.7017102203614386,0.00940274237451977,0.015817258265648063,0.04922273401221423,0.021376684370461477,0.016285331965359678,0.06889548969896127,0.0545834694122886,0.01604503110296533,0.0221989304388668,0.4489202701338674,0.03640013520672025,0.012022040565198549,71.85,0.15652893049011285
261,79,68,35,13,14,133,164,25,83,95,50,81,103,62,60,97,109,16,75,75,0.05204715328359113,0.06520407230368597,0.18927941527007894,0.6360228369345176,0.6679317462840149,0.023215872482262378,0.02051176330860886,0.7005199607576663,0.009693887866509621,0.015813573964465397,0.05037431181894539,0.021459295334222025,0.012434799754276159,0.06896069493985521,0.05501874124356812,0.016000464367659256,0.02223256099670548,0.44798356539786716,0.03642153590841136,0.012226504166577484,71.85,0.1561676378191744
262,79,68,35,13,14,133,164,25,83,96,51,81,104,62,60,97,109,16,75,76,0.05199038843280227,0.06491246981666174,0.19035988584060554,0.6347322801524651,0.6496568157070874,0.02409235823128772,0.02069838438373582,0.6995175549553776,0.008984029277626704,0.01602689891211364,0.04639899600139329,0.021575322635797804,0.01176008469701795,0.06908634679102038,0.05501043694452164,0.015995620317645724,0.02229447793203766,0.4456724565531197,0.036443347220182776,0.012266748027566337,72.05,0.15487374514150334
263,79,68,35,14,15,133,164,25,83,96,51,81,104,62,60,97,109,16,75,76,0.051991417542315906,0.06466251033979147,0.19016968061445808,0.6114105700926993,0.6196226626223053,0.02447195620419795,0.019875539838637386,0.6991353619796717,0.008873773706119855,0.015922057229113086,0.03870655772448074,0.02150604839377847,0.011855442213623692,0.06929499119610599,0.05489800565840432,0.016013051015742255,0.022261076766931717,0.44275952090161613,0.03646756032032548,0.012064043283492157,72.15,0.15159809138219055
264,79,68,35,14,15,133,164,25,83,96,51,81,104,62,60,97,109,16,75,76,0.05195460815060991,0.06466519968420491,0.18878909745911576,0.5879980436439298,0.6159862739896833,0.02469702415214433,0.01966819118373216,0.6991153539440662,0.008659171014969899,0.01602101034895482,0.03751797255595962,0.021676637851031362,0.011800494836417109,0.06927342629815106,0.05490284101541833,0.015992141049320424,0.02201942668699941,0.4379261460112864,0.0364816473609952,0.012080834460355199,72.15,0.14986127708486724
265,79,68,35,14,15,133,164,25,83,96,52,81,104,62,60,97,109,16,75,76,0.051792080579672176,0.06477382709463972,0.18832338146398042,0.5859289881867534,0.6159905973402253,0.024705323881761238,0.01967756551294664,0.6989447686435533,0.008433989832065284,0.016239585325453724,0.034254417253318035,0.021587827066132836,0.011850185446758452,0.06921637887001447,0.0542805025865707,0.015928666848606818,0.021302140184566394,0.44293238754216424,0.03644090921834358,0.012029207016577151,72.2,0.1497316364947052
266,79,68,36,14,15,133,164,26,83,96,52,81,104,62,60,97,109,16,75,76,0.0517237785468793,0.06469223074023361,0.18738451255131505,0.5834868751708523,0.6160005562761569,0.024005343385661015,0.01953183057939003,0.6765921391548837,0.00861667584287994,0.016408907954372446,0.03238457174959293,0.02141336099023745,0.012056620206626095,0.0693961769593533,0.05366312368541054,0.016117649603346763,0.02128588289926196,0.4444951788290707,0.03652559208082255,0.012014250817072034,72.3,0.14838976290117095
